peak_hz,mean_freq_hz,freq_std_hz,mean_amp,best_pair_excess,best_harmonic_excess,child_evidence,best_relation,outgoing_count,tag
13.7460738293,13.651544744322445,0.18792229378925357,0.016851674341484213,0.09399700396934665,-0.027469297185410538,0.09399700396934665,1.245 + 12.537,0,child-like
14.2476787985,14.242808948868063,0.17576732737802356,0.009130935083498161,0.03991436672591203,-0.05056374318452639,0.03991436672591203,4.766 + 9.403,2,child-like
14.7008972301,14.707031250004631,0.1994849074356198,0.008170907238442923,-0.008702375748276425,-0.06510114581675458,-0.008702375748276425,6.369 + 8.332,3,unexplained-or-parent-like
15.8234583338,15.939897017050477,0.19619688959602355,0.0121089415926691,0.055913548099962226,-0.018209339521931253,0.055913548099962226,7.082 + 8.742,0,child-like
16.024945064,16.049893465914103,0.12407791908032131,0.011993357807503005,0.18770308712037836,-0.09635185725847627,0.18770308712037836,7.956 + 8.106,2,child-like
16.6009768024,16.59774502841427,0.14520986415920115,0.012286209833829302,0.1792491297803753,-0.0340727683777545,0.1792491297803753,1.902 + 14.701,1,child-like
18.3613165321,18.36434659091484,0.12761209992727615,0.0109797196873844,0.13990396510595626,nan,0.13990396510595626,7.082 + 11.333,3,child-like
20.7883484324,20.75710227273378,0.17585871227331923,0.010554470813935674,0.0637939095950858,-0.04361779164600248,0.0637939095950858,2.505 + 18.361,0,child-like
21.398613679,21.401633522733952,0.08035382800684185,0.020516608973005925,0.081138560991589,nan,0.081138560991589,9.403 + 12.016,2,child-like
21.9597771241,21.895951704552324,0.1735917357142375,0.006224816536205332,0.11622246801216402,nan,0.11622246801216402,0.505 + 21.399,1,child-like
22.5630278277,22.597745028416167,0.19849587656372936,0.006124185622666188,0.010778757340077619,-0.015479874573965574,0.010778757340077619,4.185 + 18.361,1,unexplained-or-parent-like
23.1592639881,23.157848011370874,0.08254673574915522,0.013581697296790683,0.1080419771513378,nan,0.1080419771513378,8.950 + 14.248,0,child-like
28.8642864757,28.853959517054484,0.1756139037502596,0.0038774188684715786,-0.012315467172931874,nan,-0.012315467172931874,6.897 + 21.960,0,unexplained-or-parent-like
