parent1,parent2,child,f1_hz,f2_hz,f3_hz,amp_child,amp_parent_geom,child_parent_amp_ratio,bic_0681,null95_0681,excess_0681,bic_0680,null95_0680,excess_0680,ampcorr_0681,ampcorr_0680,nwin_0681,nwin_0680,reproducible_positive,combined_edge_score
F04,F14,F22,4.7921697443197235,8.820223721593663,13.651544744322445,0.016851674341484213,0.11091580696791156,0.15193212583630644,0.03858975885678567,0.04003745254224256,-0.0014476936854568856,0.2064073507931837,0.17600634542543347,0.030401005367750228,0.8545450937241863,0.8320528445083523,46,55,0.0,0.01679290953519325
F09,F15,F25,6.993696732956727,8.96164772727553,15.939897017050477,0.0121089415926691,0.11436030419050376,0.10588413242148931,0.037791836481077264,0.04509975959836902,-0.007307923117291754,0.10242130496536475,0.08127336260416876,0.021147942361195993,0.5832585081550432,0.7735545011632222,46,55,0.0,0.005380842299425842
F11,F14,F27,7.890713778411583,8.820223721593663,16.59774502841427,0.012286209833829302,0.08011449099475479,0.15335814633876532,0.01639839292081421,0.0354854765665379,-0.01908708364572369,0.19021107750849306,0.1549384130557842,0.03527266445270885,0.6387860991118586,0.8629764458003347,46,55,0.0,0.0020765150259016187
F08,F10,F24,6.888760653411199,7.712269176138788,14.707031250004631,0.008170907238442923,0.04472241681218233,0.182702720936521,0.02863017917948592,0.05437745449426609,-0.02574727531478017,0.12751631784388057,0.08239949816994653,0.045116819673934036,0.5262508148474428,0.9490974344299914,46,55,0.0,0.0013228164895802488
F02,F19,F27,3.965465198864866,12.60697798295853,16.59774502841427,0.012286209833829302,0.14889612649652542,0.08251530864448652,0.025999676541187237,0.02556245089212453,0.0004372256490627058,0.07020877078923556,0.10574069564133923,-0.03553192485210367,0.498643895390594,0.8997844728535378,46,55,0.0,0.0004372256490627058
F15,F20,F31,8.96164772727553,13.04856178977678,21.895951704552324,0.006224816536205332,0.12686572405666816,0.04906618066062384,0.014424533677229507,0.05423740751043641,-0.039812873833206905,0.11778350900489476,0.05129723436388172,0.06648627464101303,0.8864518935746323,0.6740496303355518,46,55,0.0,7.889095140091451e-05
F14,F20,F31,8.820223721593663,13.04856178977678,21.895951704552324,0.006224816536205332,0.08716756053435694,0.07141207690161103,0.014424533677229507,0.05423740751043641,-0.039812873833206905,0.11740272795026976,0.05121241081138403,0.06619031713888573,0.8864518935746323,0.6771359104340063,46,55,0.0,-9.868354987546679e-05
F03,F11,F18,4.190784801137673,7.890713778411583,12.05273437500379,0.05795265966554599,0.09283252774008603,0.6242710510673883,0.037863575775128305,0.04799782411223987,-0.010134248337111566,0.03646772503716241,0.026360235935463782,0.01010748910169863,0.682762791139972,0.6714035161507148,46,55,0.0,-0.004069754876092389
F15,F22,F32,8.96164772727553,13.651544744322445,22.597745028416167,0.006124185622666188,0.07421706445875781,0.0825172171296182,0.006837694800895634,0.08347519004600502,-0.07663749524510939,0.28133377071790744,0.1643766242225455,0.11695714649536193,0.6918093764699234,0.8508802366502082,46,55,0.0,-0.006463207347892241
F08,F15,F25,6.888760653411199,8.96164772727553,15.939897017050477,0.0121089415926691,0.12346430054792609,0.09807646047424598,0.032894359310618015,0.06168769820714042,-0.028793338896522407,0.10484593214026597,0.06977649656770513,0.03506943557256084,0.5971946483376256,0.7218297254366312,46,55,0.0,-0.007751677552985902
F02,F05,F14,3.965465198864866,4.902965198865155,8.820223721593663,0.1543070136691137,0.2169618276254218,0.7112173388192518,0.0010665928709770267,0.04737156741153229,-0.046304974540555266,0.2674405120684325,0.20553794230528172,0.06190256976315078,0.724620406027682,0.8214324025570112,46,55,0.0,-0.009163432682664799
F02,F05,F15,3.965465198864866,4.902965198865155,8.96164772727553,0.32686204024936544,0.2169618276254218,1.5065416982644666,0.0010665928709770267,0.04737156741153229,-0.046304974540555266,0.26736236732064095,0.20554029264859974,0.061822074672041205,0.724620406027682,0.8169319341601299,46,55,0.0,-0.009211729737330546
F04,F13,F21,4.7921697443197235,8.402077414775336,13.208895596595026,0.04583265059123541,0.04862041004132172,0.9426627737668802,0.030871833990839,0.09003193915974282,-0.059160105168903826,0.24515699099550417,0.16405162937106385,0.08110536162444032,0.911241584594019,0.9187436640162155,46,55,0.0,-0.010496888194239634
F13,F24,F33,8.402077414775336,14.707031250004631,23.157848011370874,0.013581697296790683,0.01556514415244441,0.8725712504665599,0.010093634025948473,0.04183208147417169,-0.03173844744822321,0.09632643451875249,0.0626003287456683,0.033726105773084186,0.5971856818062211,0.8518050616307591,46,55,0.0,-0.0115027839843727
F06,F27,F31,5.415660511365317,16.59774502841427,21.895951704552324,0.006224816536205332,0.038412711053858704,0.16205095567135258,0.002868077260603174,0.05635882629325928,-0.053490749032656104,0.15141895571281785,0.08188102411624552,0.06953793159657233,0.8062650033452996,0.7807239479889097,46,55,0.0,-0.011767990074712707
F05,F07,F17,4.902965198865155,6.35555752841107,11.311257102276267,0.06329859979121778,0.13294595875350343,0.4761227824049952,0.013732141909424034,0.028562213730050467,-0.014830071820626433,0.11682240035159999,0.18000712110461448,-0.06318472075301448,0.7723184710504551,0.6536333812065555,46,55,0.0,-0.014830071820626433
F15,F16,F28,8.96164772727553,9.40669389204844,18.36434659091484,0.0109797196873844,0.16052217466582258,0.068400018316735,0.04688682816724049,0.062494584632929534,-0.015607756465689043,0.1393333640441761,0.1414943283155271,-0.0021609642713510124,0.5970938345834239,0.9381834564966274,46,55,0.0,-0.015607756465689043
F07,F32,F34,6.35555752841107,22.597745028416167,28.853959517054484,0.0038774188684715786,0.03721063882299251,0.10420188932837443,0.0267233346369494,0.04595260804967675,-0.019229273412727347,0.01753205761424226,0.06467507993281386,-0.047143022318571606,0.5025956951608137,0.7295932854810061,45,55,0.0,-0.019229273412727347
F16,F22,F33,9.40669389204844,13.651544744322445,23.157848011370874,0.013581697296790683,0.03644805182989267,0.37263163913885045,0.006703331812376097,0.06150843727674767,-0.054805105464371576,0.08446109951686537,0.031270494067022835,0.05319060544984253,0.8045701014283059,0.6937522475657126,46,55,0.0,-0.02289074219446606
F05,F27,F30,4.902965198865155,16.59774502841427,21.401633522733952,0.020516608973005925,0.03099139685280401,0.6620098174487299,0.0001177107714167763,0.02566010960826275,-0.025542398836845972,0.01870345187784422,0.045736311808341916,-0.027032859930497696,0.6953651412829795,0.5347778947922361,46,55,0.0,-0.025542398836845972
F04,F27,F30,4.7921697443197235,16.59774502841427,21.401633522733952,0.020516608973005925,0.0312974946754798,0.655535185347592,0.0004162741939970704,0.02639536532086987,-0.0259790911268728,0.019003084451101132,0.0480560287058166,-0.029052944254715468,0.6975088567951876,0.54845649317068,46,55,0.0,-0.0259790911268728
F04,F26,F29,4.7921697443197235,16.049893465914103,20.75710227273378,0.010554470813935674,0.030922244184175007,0.34132292439942336,0.02814001175237232,0.05962469369577442,-0.03148468194340209,0.04934182487516738,0.04236788902387828,0.006973935851289102,0.9157703813302355,0.5945425316127401,46,55,0.0,-0.02730032043262863
F04,F25,F29,4.7921697443197235,15.939897017050477,20.75710227273378,0.010554470813935674,0.031070890631845312,0.33968999920195847,0.02736084841274676,0.05712718746515848,-0.029766339052411717,0.05679413084650972,0.07534727276305035,-0.01855314191654063,0.9151903395847821,0.590022794719533,46,55,0.0,-0.029766339052411717
F07,F08,F21,6.35555752841107,6.888760653411199,13.208895596595026,0.04583265059123541,0.10268384203162258,0.44634725078869525,0.013400197698069946,0.04460840560500568,-0.031208207906935737,0.030060999060252436,0.31554007874563,-0.28547907968537756,0.9265857131754018,0.9216848340765119,46,55,0.0,-0.031208207906935737
F06,F26,F30,5.415660511365317,16.049893465914103,21.401633522733952,0.020516608973005925,0.03795215058904288,0.540591472540406,0.009930923642291376,0.04190148394596748,-0.03197056030367611,0.0024187242737280486,0.04728846285248124,-0.04486973857875319,0.8669199580038902,0.7322590418354266,46,55,0.0,-0.03197056030367611
F09,F22,F29,6.993696732956727,13.651544744322445,20.75710227273378,0.010554470813935674,0.025966570058592927,0.40646380288654876,0.031681211620652204,0.06404452631274136,-0.03236331469208916,0.05433486154645138,0.10784351778047149,-0.05350865623402011,0.8525715156326358,0.5917060524216474,46,55,0.0,-0.03236331469208916
F10,F20,F29,7.712269176138788,13.04856178977678,20.75710227273378,0.010554470813935674,0.045954512885602906,0.22967212905094866,0.005539065695225715,0.03917744186841811,-0.033638376173192396,0.029387105123777204,0.044933919721412696,-0.015546814597635492,0.9272075757918066,0.5944070031696242,46,55,0.0,-0.033638376173192396
F05,F25,F29,4.902965198865155,15.939897017050477,20.75710227273378,0.010554470813935674,0.03076700905699016,0.34304507124451,0.014823173723397573,0.048971131910531214,-0.03414795818713364,0.058311116222273425,0.060051044527449214,-0.0017399283051757891,0.9157695329418105,0.6354810962088571,46,55,0.0,-0.03414795818713364
F16,F21,F32,9.40669389204844,13.208895596595026,22.597745028416167,0.006124185622666188,0.06010910729194267,0.10188448803476248,0.016857908943065096,0.053629229641118326,-0.03677132069805323,0.12551794820934611,0.3009295941962014,-0.1754116459868553,0.6729683737662545,0.9385374249532398,46,55,0.0,-0.03677132069805323
